status,ticker,name,market_cap,benchmark,window_len,window_start,window_end,event_date,raw_return,index_return,index_relative,z_score,daily_sigma,avg_daily_value,last_close,max_drop_window_len,max_drop_return,market,currency,sector,favoured,avoided,sector_ok,npat_margin,fcf_margin,earnings_yield,quality_ok,conviction_weight,trigger_primary,trigger_cats,director_buy,director_buy_val
New,A1M,AIC MINES LIMITED,482560006.9183908,^AXKO,2,2026-07-15,2026-07-17,2026-07-16,-0.257669,-0.005494,-0.252175,-4.3497,0.041887,1082438.26,0.605,2,-0.257669,,,,,,,,,,,,,,,
New,MSB,MESOBLAST LIMITED,3159984384.3848166,^AXKO,1,2026-07-16,2026-07-17,2026-07-17,-0.119134,-0.005528,-0.113606,-3.5861,0.033221,7328592.34,2.44,1,-0.119134,,,,,,,,,,,,,,,
New,SKS,SKS TECHNOLOGIES GROUP LIMITED,964499923.630576,^AXKO,1,2026-07-16,2026-07-17,2026-07-17,-0.107791,-0.005528,-0.102263,-2.6055,0.041371,2823013.3,8.36,1,-0.107791,,,,,,,,,,,,,,,
New,A1M,AIC MINES LIMITED,482560006.9183908,^AXKO,2,2026-07-15,2026-07-17,2026-07-16,-0.257669,-0.005494,-0.252175,-4.3497,0.041887,1082438.26,0.605,2,-0.257669,ASX,AUD,,,,,,,,,,,,,
New,MSB,MESOBLAST LIMITED,3159984384.3848166,^AXKO,1,2026-07-16,2026-07-17,2026-07-17,-0.119134,-0.005528,-0.113606,-3.5861,0.033221,7328592.34,2.44,1,-0.119134,ASX,AUD,,,,,,,,,,,,,
New,CDNS,Cadence Design Systems,91049615719.72656,^GSPC,3,2026-07-14,2026-07-17,2026-07-17,-0.123912,-0.011387,-0.112525,-2.6986,0.02651,808675049.05,330.109985,5,-0.140719,US,USD,,,,,,,,,,,,,
New,ELV,Elevance Health,80916097615.10376,^GSPC,3,2026-07-14,2026-07-17,2026-07-15,-0.125776,-0.011387,-0.114389,-3.7202,0.01952,639053236.13,373.109985,3,-0.125776,US,USD,,,,,,,,,,,,,
New,IBM,IBM,199885400776.61865,^GSPC,4,2026-07-13,2026-07-17,2026-07-14,-0.267236,-0.007671,-0.259565,-4.3008,0.031068,2283864969.0,212.669998,4,-0.267236,US,USD,,,,,,,,,,,,,
New,ISRG,Intuitive Surgical,122334933639.24455,^GSPC,1,2026-07-16,2026-07-17,2026-07-17,-0.141451,-0.010099,-0.131352,-6.546,0.021609,1047430577.2,345.420013,4,-0.151552,US,USD,,,,,,,,,,,,,
New,PNR,Pentair,10092266158.745243,^RUT,3,2026-07-14,2026-07-17,2026-07-15,-0.174815,-0.000857,-0.173958,-5.1123,0.019742,171004169.86,62.450001,4,-0.18398,US,USD,,,,,,,,,,,,,
New,PGR,Progressive Corporation,120902128225.708,^GSPC,4,2026-07-13,2026-07-17,2026-07-15,-0.113144,-0.007671,-0.105473,-3.6139,0.015654,656693117.9,207.949997,4,-0.113144,US,USD,,,,,,,,,,,,,
New,PRDO,Perdoceo Education Corp.,1985181181.2122607,^RUT,3,2026-07-14,2026-07-17,2026-07-15,-0.128304,-0.000857,-0.127447,-3.6895,0.020078,23597984.15,31.66,4,-0.133789,US,USD,,,,,,,,,,,,,
New,VIRT,"Virtu Financial, Inc.",4848130971.336754,^RUT,4,2026-07-13,2026-07-17,2026-07-14,-0.13855,0.003065,-0.141614,-3.0758,0.022523,69221190.61,55.709999,5,-0.153344,US,USD,,,,,,,,,,,,,
New,UTI,Universal Technical Institute Inc Common Stock,2087376945.3083,^RUT,5,2026-07-13,2026-07-20,2026-07-15,-0.21103,-0.003637,-0.207393,-2.6156,0.036081,38218631.06,37.91,5,-0.21103,US,USD,Real Estate,False,True,,,,,,,,,,
New,ACI,Albertsons Companies Inc. Class A Common Stock,5603064953.600795,^GSPC,2,2026-07-21,2026-07-23,2026-07-23,-0.222826,-0.013437,-0.209389,-7.9401,0.019844,116029972.52,11.44,4,-0.242886,US,USD,Consumer Staples,False,False,True,0.0026,0.0087,0.0347,True,1.114,earnings,earnings|management,False,0.0
